Date,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close,Nifty_Volume,VIX_Close,USDINR_Close
2025-04-23,24357.599609375,24359.30078125,24119.94921875,24328.94921875,415000.0,15.960000038146973,85.2323989868164
2025-04-24,24277.900390625,24347.849609375,24216.150390625,24246.69921875,358800.0,16.25,85.4999008178711
2025-04-25,24289.0,24365.44921875,23847.849609375,24039.349609375,387700.0,17.15999984741211,85.2573013305664
2025-04-28,24070.25,24355.099609375,24054.05078125,24328.5,320500.0,16.940000534057617,85.38490295410156
2025-04-29,24370.69921875,24457.650390625,24290.75,24335.94921875,357600.0,17.3700008392334,85.1603012084961
2025-04-30,24342.05078125,24396.150390625,24198.75,24334.19921875,424500.0,18.219999313354492,85.1707992553711
2025-05-01,24342.05078125,24396.150390625,24198.75,24334.19921875,424500.0,18.219999313354492,84.53119659423828
2025-05-02,24311.900390625,24589.150390625,24238.5,24346.69921875,421100.0,18.260000228881836,84.69670104980469
2025-05-05,24419.5,24526.400390625,24400.650390625,24461.150390625,291500.0,18.34000015258789,84.52629852294922
2025-05-06,24500.75,24509.650390625,24331.80078125,24379.599609375,302400.0,19.0,84.2208023071289
2025-05-07,24233.30078125,24449.599609375,24220.0,24414.400390625,330100.0,19.059999465942383,84.79319763183594
2025-05-08,24431.5,24447.25,24150.19921875,24273.80078125,411400.0,21.010000228881836,84.81719970703125
2025-05-09,23935.75,24164.25,23935.75,24008.0,335600.0,21.6299991607666,86.08219909667969
2025-05-12,24420.099609375,24944.80078125,24378.849609375,24924.69921875,368700.0,18.389999389648438,85.4083023071289
2025-05-13,24864.05078125,24973.80078125,24547.5,24578.349609375,423000.0,18.200000762939453,84.9656982421875
2025-05-14,24613.80078125,24767.55078125,24535.55078125,24666.900390625,345500.0,17.229999542236328,85.060302734375
2025-05-15,24694.44921875,25116.25,24494.44921875,25062.099609375,500800.0,16.889999389648438,85.48760223388672
